Problem Size, Direct Sum, Vector Sum, Indirect Sum
8388608, 1752.0366845925, 2511.2111640874, 578.3253454306
16777216, 1742.2424072815, 2716.4697451376, 252.2813515977
33554432, 1749.1487861042, 2677.6740777196, 169.4952011804
67108864, 1747.84887574940, 2724.1072321326, 153.3424716054
134217728, 1746.8298758301, 2898.8542908647, 64.4259569234
268435456, 1754.0532575907, 2991.1955505610, 63.2228277107
