Problem Size, Direct Sum, Vector Sum, Indirect Sum
8388608, 0, 8.7915201324, 2.1600805732
16777216, 0, 9.7508312667, 2.0146090821
33554432, 0, 10.4881177289, 1.3813105350
67108864, 0, 11.3892926294, 0.5366471909
134217728, 0, 11.9252443162, 0.4930157840
268435456, 0, 12.1788293071, 0.4877396180
