Problem Size, Direct Sum, Vector Sum, Indirect Sum
8388608, 0, 0.4066243172, 1.9527943730
16777216, 0, 0.3970983624, 1.8724637926
33554432, 0, 0.3549536467, 2.8079637885
67108864, 0, 0.3369134068, 3.2134503424
134217728, 0, 0.3281786069, 3.5146249570
268435456, 0, 0.3251205310, 8.1180513594
